word,replacement
chairman,chairperson
chairmen,chairpeople
chairwoman,chairperson
chairwomen,chairpeople
anchorman,anchor
anchormen,anchors
anchorwoman,anchor
anchorwomen,anchors
congressman,member of congress
congressmen,members of congress
congresswoman,member of congress
congresswomen,members of congress
policeman,police officer
policemen,police officers
policewoman,police officer
policewomen,police officers
spokesman,spokesperson
spokesmen,spokespersons
spokeswoman,spokesperson
spokeswomen,spokespersons
steward,flight attendant
stewards,flight attendants
stewardess,flight attendant
stewardesses,flight attendants
headmaster,principal
headmasters,principals
headmistress,principal
headmistresses,principals
businessman,business person
businessmen,business people
businesswoman,business person
businesswomen,business persons
postman,mail carrier
postmen,mail carriers
postwoman,mail carrier
postwomen,mail carriers
mailman,mail carrier
mailmen,mail carriers
mailwoman,mail carrier
mailwomen,mail carriers
salesman,salesperson
salesmen,salespersons
saleswoman,salesperson
saleswomen,salespersons
fireman,firefighter
firemen,firefighters
firewoman,firefighter
firewomen,firefighters
barman,bartender
barmen,bartenders
barwoman,bartender
barwomen,bartenders
cleaning man,cleaner
cleaning lady,cleaners
cleaning men,cleaner
cleaning ladies,cleaners
foreman,supervisor
foremen,supervisors
forewoman,supervisor
forewomen,supervisors
actress,actor
actresses,actors
heroine,hero
heroines,heros
comedienne,comedian
comediennes,comedians
executrix,executor
executrices,executors
executrixes,executors
poetess,poet
poetesses,poets
usherette,usher
usherettes,ushers
authoress,author
authoresses,authors
boss lady,boss
boss ladies,bosses
waitress,server
waitresses,servers
average man,average person
average men,average people
best man for the job,best person for the job
best men for the job,best people for the job
layman,layperson
laymen,laypeople
man and wife,husband and wife
mankind,humankind
man-made,human-made
workmanlike,skillful
freshman,first-year student